,�..control,country,c_code,region,inc_grp,year,TFP,TFP_wb,TFPgrowth,ghg_serv,ghg_ind,ghg_agr,ghg_agrc,va_ser,va_ind,va_agr,ghg_va_agr,ghg_va_ind,ghg_va_ser,life_expectancy,patents_tot,internet_access,urbanization,popage15_64,ruleoflaw,sch,exports_gdp,imports_gdp,trade.exp.imp.,ed_tc25,fdi_imf,rl_wb2,ROL,innovation_index,education_index,efficiency_index,infrastructure_index,governance_index,pat_wb2,str_agr,str_ind,str_ser,eps,ghg_tot
2075,MCO2003,Monaco,MCO,Europe & Central Asia,High income,2003,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,49.49116892,100,NA,0.8622284,NA,NA,NA,NA,10.288,0.353,0.8081,0.8622284,0.2652141,0.7115914,0.5329355,1.645082,0.6235094,0.0472,NA,NA,NA,NA,NA
2076,MDA2003,Moldova,MDA,Europe & Central Asia,Lower middle income,2003,0.700701475,0.713,0.129,1.5725,8.456,0.9711,0.9711,2629.508986,1564.637942,738.4905047,0.00131498,0.005404445,0.00059802,67.521,296,7.407544584,43.389,69.75281278,-0.5166645,85.07275,53.3131902,86.74333973,140.0565299,8.652,0.2307,-0.592,-0.5166645,-0.4059274,0.5251345,0.4147081,0.0155198,-0.4636393,0.0201,0.980231949,0.849354676,0.941864576,0.923817067,10.9996
2077,MDG2003,Madagascar,MDG,Sub-Saharan Africa,Low income,2003,NA,1.152721,0.0644354,0.4629,0.1176,43.9889,43.9889,3871.613987,1198.601298,2496.250137,0.017621992,9.81E-05,0.000119563,60.256,23,0.423252419,27.936,52.03304377,-0.2347738,NA,23.08574441,32.07349371,55.15923812,1.051,0.0864,-0.2032,-0.2347738,-0.5000329,-1.11681,-0.5494258,-1.378751,0.0580657,3.00E-04,0.735089172,0.997265527,0.989175946,0.907176882,44.5694
2078,MDV2003,Maldives,MDV,South Asia,Upper middle income,2003,NA,1,0,0.0657,0.0012,0.0019,0.0019,1408.556615,151.89679,176.5447841,1.08E-05,7.90E-06,4.66E-05,72.399,NA,5.97659285,31.252,61.00639943,-0.0151742,67.70629,NA,NA,NA,0.36,0.1277,0.1539,-0.0151742,-0.4593284,-0.5876751,0.2263024,0,0.2569894,0.0096,0.999837644,0.999779793,0.996390762,0.9986694,0.0688
2079,MEX2003,Mexico,MEX,Latin America & Caribbean,Upper middle income,2003,1.100946426,1.085,0,91.6763,453.3764,108.1219,108.1219,536000,321000,31082.56146,0.003478539,0.001413184,0.000171149,75.118,12207,12.9,75.682,61.86296566,-0.3322099,79.86403,24.36044069,25.84524877,50.20568946,10.4,0.3179,-0.3747,-0.3322099,-0.3109852,0.0286787,0.4705372,0.0045831,0.1724274,0.0292,0.947707237,0.960608432,0.984074956,0.964130208,653.1746
2080,MHL2003,Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2003,NA,1,0,NA,NA,NA,NA,111.7299842,14.48420736,12.16077796,NA,NA,NA,NA,NA,2.569750367,70.13,NA,0.0727762,63.04941,30.15293173,86.63127813,116.7842099,5.282,0,-0.0293,0.0727762,-0.4974717,0.608428,-0.5650321,-0.2307106,0.0923328,0.0097,NA,NA,NA,NA,NA
2081,MKD2003,North Macedonia,MKD,Europe & Central Asia,Upper middle income,2003,NA,1,0,0.8877,9.8929,2.4449,2.4449,3868.934884,1555.074812,801.4219368,0.003050703,0.006361688,0.000229443,73.781,71,19.07,57.921,68.19529898,-0.4868161,81.55897,27.65636747,43.41295302,71.06932049,11.356,0.1513,-0.5598,-0.4868161,-0.4774542,0.3752655,0.1131563,0.535861,-0.3531362,0.0082,0.954138882,0.822672161,0.978310657,0.9183739,13.2255
2082,MLI2003,Mali,MLI,Sub-Saharan Africa,Low income,2003,NA,0.9428152,0.031,0.2605,0.0086,26.4677,26.4677,2536.144492,1996.02873,2453.931603,0.010785834,4.31E-06,0.000102715,50.373,NA,0.310364443,30.547,50.14079888,0.0001894,22.12538,25.76934039,32.85880131,58.6281417,0.616,0.098,-0.0265,0.0001894,-0.4333711,-1.118948,-0.8380594,-1.190168,-0.0721867,0.00025,0.837856911,0.999879862,0.99084193,0.942859568,26.7368
2083,MLT2003,Malta,MLT,Middle East & North Africa,High income,2003,1.063726187,1.069,0.003,3.2994,2.7023,0.1122,0.1122,NA,NA,NA,NA,NA,NA,78.54634146,NA,31.64,93.16,68.40809362,1.576137,92.95392,107.7210253,106.851315,214.5723403,8.43,0.5406,1.5487,1.576137,-0.1379846,0.3316391,1.023733,1.201508,1.419586,0.0633,NA,NA,NA,NA,6.1139
2084,MMR2003,Myanmar,MMR,East Asia & Pacific,Lower middle income,2003,NA,1,0,10.282,17.4207,133.5343,133.5343,NA,3076.351212,11779.87643,0.011335798,0.00566278,NA,60.989,NA,0.024064149,27.575,63.73237961,-1.700723,40.11624,0.207565072,0.158394556,0.365959628,3.484,0.1043,-1.6285,-1.700723,-0.645487,-1.167498,-0.2119635,-0.6882985,-1.577601,-0.00025,0.82958932,0.842153759,NA,NA,161.237
2085,MNE2003,Montenegro,MNE,Europe & Central Asia,Upper middle income,2003,NA,1,0,0.1856,0,0,0,1879.580423,573.840624,289.0715737,0,0,9.87E-05,73.37,NA,NA,61.568,66.76795657,-0.1567816,92.95622,30.6112462,46.98714281,77.59838901,11.356,0.1576,-0.3575,-0.1567816,1.150999,0.5371982,0.2814781,0.9854304,-0.0119226,0.3664,1,1,0.991238946,0.997079649,0.1856
2086,MNG2003,Mongolia,MNG,East Asia & Pacific,Lower middle income,2003,1.018556833,0.678,0.049,0.2295,9.7416,36.8237,36.8237,NA,1694.937449,591.2990192,0.062275936,0.005747469,NA,64.23,253,NA,60.378,65.13783022,0.2130862,82.79679,52.35204953,67.94734398,120.2993935,13.41,0.1844,0.1362,0.2130862,-0.4456949,0.813692,0.3561306,-0.7354413,0.1873042,0.0247,0.063807895,0.839793109,NA,NA,46.7948
2087,MNP2003,Northern Mariana Islands,MNP,East Asia & Pacific,High income,2003,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.398,NA,NA,NA,90.23405973,62.46973366,152.7037934,15.263,0.74455,0,0,1.616967,1.002758,1.778521,0.5026184,0,0.318,NA,NA,NA,NA,NA
2088,MOZ2003,Mozambique,MOZ,Sub-Saharan Africa,Low income,2003,0.926582754,0.869,0.02,2.4755,4.3153,53.5856,53.5856,2947.978166,1084.895079,1871.709944,0.028629222,0.00397762,0.000839728,49.889,16,0.419538844,29.637,51.74098215,-0.6728061,NA,22.56347168,45.59438272,68.1578544,0.26,0.0861,-0.6783,-0.6728061,-0.488905,-1.223731,-1.487208,-1.298261,-0.2509247,2.00E-04,0.569617844,0.889126477,0.91796371,0.79223601,60.3764
2089,MRT2003,Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2003,1.615724921,1.129,0.021,0.0935,0.1043,8.2026,8.2026,1120.320752,953.7156333,665.7446147,0.012320941,0.000109362,8.35E-05,61.018,NA,0.424004896,40.351,54.01256778,-0.5244782,21.22165,21.44961523,46.81229486,68.26191009,1.37,0.097,-0.506,-0.5244782,-0.5226555,-1.115767,-0.6881416,-1.142383,-0.1009274,0.00025,0.814779698,0.996951607,0.992741971,0.934824425,8.4004
2090,MUS2003,Mauritius,MUS,Sub-Saharan Africa,Upper middle income,2003,0.907528222,0.955,0.031,2.3071,2.8653,0.3324,0.3324,4343.477092,1894.566176,312.2104244,0.001064667,0.001512378,0.000531164,72.12130081,NA,12.1871062,42.335,68.37287861,1.07713,84.60575,56.0072568,54.11127487,110.1185317,1.408,0.33,1.0566,1.07713,-0.4569868,-0.2733658,0.4741674,0.4226436,0.9294347,0.0031,0.983994896,0.957843465,0.948475512,0.963437958,5.5048
2091,MWI2003,Malawi,MWI,Sub-Saharan Africa,Low income,2003,NA,0.8723898,0.0503852,0.2101,0.1672,9.668,9.668,2143.122043,540.041712,1862.350474,0.005191289,0.000309606,9.80E-05,46.052,NA,0.278815116,14.875,50.62845302,-0.2124917,NA,20.17045655,30.67199289,50.84244944,0.354,0.0602,-0.2498,-0.2124917,-0.51004,-1.059503,-0.7679349,-0.901216,-0.3397505,0.0026,0.921959523,0.991369938,0.991308165,0.968212542,10.0453
2092,MYS2003,Malaysia,MYS,East Asia & Pacific,Upper middle income,2003,0.927212775,0.938,0.019,37.9941,169.3112,195.6216,195.6216,71492.82723,91789.8015,20990.59551,0.009319488,0.001844554,0.000531439,73.17,5062,34.97115234,64.78,64.02653099,0.5239099,82.9039,106.9434461,87.25168291,194.195129,3.898,0.5819,0.5707,0.5239099,-0.1200432,0.2880178,0.8553457,0.3701942,0.5904004,0.0488,0.859900442,0.948584279,0.94844832,0.91897768,402.9269
2093,NAM2003,Namibia,NAM,Sub-Saharan Africa,Upper middle income,2003,0.980398297,0.939,-0.023,0.4284,2.4567,14.0682,14.0682,4393.332344,2233.536633,962.7883271,0.014611935,0.001099915,9.75E-05,50.589,NA,3.359839886,34.709,55.9443611,0.315762,63.05422,44.46262994,53.77255244,98.23518238,1.772,0.2482,0.248,0.315762,-0.4934063,-0.5517885,0.54416,-0.5601017,0.386744,0.026,0.78033926,0.969340598,0.991357606,0.913679155,16.9533
2094,NCL2003,New Caledonia,NCL,East Asia & Pacific,High income,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.27073171,NA,26.40833447,62.987,65.16637295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2095,NER2003,Niger,NER,Sub-Saharan Africa,Low income,2003,1.032122374,0.962,0.012,1.3063,0.0315,17.6506,17.6506,NA,NA,NA,NA,NA,NA,51.95,NA,0.155698704,16.251,48.65340595,-0.5187884,7.16143,15.1978674,24.78620472,39.98407212,0.624,0.0584,-0.6612,-0.5187884,-0.5226555,-1.302215,-1.080506,-1.352658,-0.4529325,0.00025,NA,NA,NA,NA,18.9884
2096,NGA2003,Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2003,1.035394907,0.822,0.04,57.062,158.9076,232.9778,232.9778,76439.72865,87501.00401,55654.97946,0.004186109,0.001816066,0.000746497,47.242,NA,0.558576245,37.356,53.54099784,-1.427206,NA,26.75138108,22.58358378,49.33496486,1.051,0.1177,-1.5229,-1.427206,-0.5592083,-1.061685,-0.6072034,-1.067761,-1.14681,0.00065,0.937070361,0.949378363,0.927182691,0.937877138,448.9474
2097,NIC2003,Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2003,0.99011451,0.956,-0.035,0.7643,5.2716,36.4084,36.4084,3436.107877,1655.189123,1112.413966,0.032729183,0.003184893,0.000222432,70.64,NA,1.880412532,55.633,58.4906648,-0.535597,NA,20.70499891,41.47006697,62.17506588,9.836,0.1009,-0.568,-0.535597,-0.6404007,-0.310681,-0.3961274,-0.5400863,-0.2749615,0.0048,0.507983265,0.911223217,0.979003928,0.79940347,42.4443
2098,NLD2003,Netherlands,NLD,Europe & Central Asia,High income,2003,0.994672179,0.993,0,59.7322,197.0531,19.7135,19.7135,507000,157000,12992.22874,0.00151733,0.001258361,0.000117852,78.49268293,2861,64.35,80.341,67.67766287,1.747386,120.87753,59.28414032,52.63586904,111.9200094,15.768,0.8386,1.7069,1.747386,1.500218,1.670947,2.025732,1.334173,1.911365,0.0336,0.977190028,0.964924021,0.989345135,0.977153061,276.4988
2099,NOR2003,Norway,NOR,Europe & Central Asia,High income,2003,1.088703156,1.103,0.008,3.7393,45.1502,-19.789,0,185000,159000,4652.36465,0,0.000284466,2.02E-05,79.3902439,5861,78.13,77.084,65.23914325,1.920774,113.46353,39.63016952,26.92265442,66.55282394,13.28,0.6755,1.8897,1.920774,2.156291,1.588865,1.897303,2.586099,1.850425,0.2446,1,0.992070699,0.999001279,0.997023993,29.1005
2100,NPL2003,Nepal,NPL,South Asia,Low income,2003,NA,0.9913445,-0.0013735,0.8212,8.9074,50.6379,50.6379,5060.346028,1904.025504,4282.475966,0.011824445,0.004678194,0.000162281,64.165,NA,0.382810917,14.538,55.89156151,-0.556004,44.65308,15.69986449,28.54801912,44.24788361,2.426,0.107,-0.6239,-0.556004,-0.5678193,-1.038787,-0.5996373,-0.8408391,-0.6940724,0.00035,0.822243506,0.869598441,0.984951852,0.8922646,60.3665
2101,NRU2003,Nauru,NRU,East Asia & Pacific,Upper middle income,2003,NA,NA,NA,0.0033,3.00E-04,0.0011,0.0011,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0.8622284,52.48169,NA,NA,NA,NA,NA,NA,0.8622284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0047
2102,NZL2003,New Zealand,NZL,East Asia & Pacific,High income,2003,1.009355426,1.019,0.014,4.8938,36.2366,21.1069,21.1069,78355.4023,26837.1888,14447.17121,0.001460971,0.001350238,6.25E-05,79.14634146,6873,60.96253987,86.221,66.03131373,1.887663,118.77449,29.8397254,28.07504394,57.91476934,19.62,0.5664,1.8518,1.887663,2.171953,1.529795,1.707494,1.752774,1.957722,0.3318,0.978037271,0.96236301,0.994818519,0.978406267,62.2373
2103,OMN2003,Oman,OMN,Middle East & North Africa,High income,2003,NA,1,0,1.9631,64.8539,0.9286,0.9286,12778.6736,NA,657.9973992,0.001411252,NA,0.000153623,73.447,NA,7.255742945,71.509,62.91615923,0.491311,85.82816,49.75836118,32.79555673,82.55391791,12.414,0.2983,0.5564,0.491311,0.3654774,0.9109901,0.0626542,0.2881708,0.5101715,0.2248,0.978784695,NA,0.985807983,NA,67.7456
2104,PAK2003,Pakistan,PAK,South Asia,Lower middle income,2003,NA,0.9408437,0.0151138,6.4377,129.0563,127.8031,127.8031,66069.87135,22471.97121,32570.94044,0.003923838,0.00574299,9.74E-05,63.522,1127,5.041158126,33.58,55.06483746,-0.7742094,22.51146,16.71896741,16.12552834,32.84449575,5.5,0.3403,-0.7286,-0.7742094,-0.529451,-0.669623,-0.2232407,-0.5660149,-0.8046214,0.0025,0.941013072,0.839917958,0.991367495,0.924099508,263.2971
2105,PAN2003,Panama,PAN,Latin America & Caribbean,High income,2003,0.891251504,0.891,0.011,10.8374,5.8655,9.2748,9.2748,12743.34593,3292.236593,1165.886721,0.007955147,0.001781616,0.000850436,75.565,NA,9.987424077,63.091,63.11245578,-0.1098019,NA,54.34003298,60.35333392,114.6933669,15.542,0.2897,-0.1393,-0.1098019,-0.4296131,0.5964057,0.2957852,-0.1166624,0.1719027,0.0145,0.880410536,0.950338634,0.916904868,0.915884679,25.9777
2106,PER2003,Peru,PER,Latin America & Caribbean,Upper middle income,2003,0.902728081,0.867,0.006,9.1526,29.8294,67.6197,67.6197,45803.38114,34229.34632,7723.662003,0.008754876,0.000871457,0.000199824,72.24,924,11.6,74.249,61.81489953,-0.5218028,78.72908,19.01466695,18.60994338,37.62461033,23.532,0.2281,-0.5755,-0.5218028,-0.5954062,0.3509719,0.1510592,-0.4166663,-0.2244755,0.0074,0.868388236,0.975708713,0.981239479,0.94177881,106.6017
2107,PHL2003,Philippines,PHL,East Asia & Pacific,Lower middle income,2003,0.885232687,0.861,0.005,10.9154,81.803,44.1785,44.1785,73097.16538,46717.74447,20750.73013,0.002129009,0.001751005,0.000149327,68.937,1873,4.857672267,45.88,58.91356871,-0.4913498,81.28062,47.15705508,54.69227813,101.8493332,7.816,0.3252,-0.5266,-0.4913498,-0.5935964,-0.2449605,-0.2571728,-0.3335457,-0.2952061,0.0054,0.967994677,0.951191896,0.986232786,0.96847312,136.8969
2108,PLW2003,Palau,PLW,East Asia & Pacific,High income,2003,NA,1,0,0.0144,7.00E-04,-0.0974,0,137.3835462,34.09401478,6.893523127,0,2.05E-05,0.000104816,NA,NA,21.60152718,69.6,NA,0.8622284,94.27148,40.97796658,77.66761467,118.6455813,15.263,0.74455,0.8081,0.8622284,1.29076,1.372794,1.157116,0.6237853,0.671247,0.318,1,0.999428576,0.990634177,0.996687584,-0.0823
2109,PNG2003,Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2003,NA,1,0,2.3833,0.0223,91.7281,91.7281,NA,NA,NA,NA,NA,NA,59.974,NA,1.374404668,13.146,57.40719227,-1.138458,NA,69.41796632,54.03110268,123.449069,0.834,0.1135,-1.2695,-1.138458,-0.619269,-1.141559,-0.3501969,-1.353777,-0.6273606,0.00015,NA,NA,NA,NA,94.1337
2110,POL2003,Poland,POL,Europe & Central Asia,High income,2003,0.889571488,0.883,0.026,10.9877,321.1689,-12.6581,0,209000,94349.15266,11538.48705,0,0.003404046,5.27E-05,74.59756098,6241,24.87,61.676,69.58541301,0.5613903,105.69502,33.39129715,36.04600853,69.43730568,9.372,0.353,0.5145,0.5613903,0.0946059,1.603223,0.4540417,0.7585641,0.7662816,0.0362,1,0.905114473,0.995787575,0.966967349,319.4985
2111,PRI2003,Puerto Rico,PRI,Latin America & Caribbean,High income,2003,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.07121951,NA,19.70702566,94.224,65.32699558,0.730874,NA,73.73675953,45.10339795,118.8401575,5.554,0.30375,0.6716,0.730874,-0.2574223,0.1295908,0.7472177,0.6972243,1.080229,0.0292,NA,NA,NA,NA,NA
2112,PRK2003,"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,2003,NA,NA,NA,1.7985,88.2507,17.5354,17.5354,NA,NA,NA,NA,NA,NA,67.615,NA,0,59.648,67.9145004,-1.158766,NA,NA,NA,NA,NA,NA,NA,-1.158766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.5846
2113,PRT2003,Portugal,PRT,Europe & Central Asia,High income,2003,1.016144872,1.006,-0.009,10.9568,64.7876,7.6642,7.6642,140000,51863.54485,4639.681449,0.001651881,0.001249193,7.83E-05,77.2195122,165,29.67,56.287,67.52476506,1.309731,106.48391,27.3671919,33.77175559,61.13894749,3.868,0.6498,1.2793,1.309731,0.0780773,0.0817678,1.324139,1.132271,1.418802,0.003,0.975167327,0.965179573,0.993256164,0.977867688,83.4086
2114,PRY2003,Paraguay,PRY,Latin America & Caribbean,Upper middle income,2003,0.952741981,0.927,-0.001,4.9277,4.647,94.0724,94.0724,8530.935315,7921.149894,2032.351451,0.046287467,0.000586657,0.000577627,71.249,185,2.111942082,56.977,58.68863797,-1.027801,65.11464,47.1446576,33.98270617,81.12736377,3.572,0.065,-1.0928,-1.027801,-0.6187803,-0.334422,-0.5535489,0.0845968,-0.8128262,0.0074,0.304162026,0.983647325,0.943881101,0.743896817,103.6471
2115,PSE2003,West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,2003,NA,1,0,NA,NA,NA,NA,3891.521097,1062.246016,413.0805357,NA,NA,NA,71.648,NA,4.130616356,72.627,50.97599702,-0.0879315,84.8044,12.98135081,63.41733871,76.39868952,5.141,0.25165,-0.1269,-0.0879315,-0.3694284,-0.1002935,-1.003646,-0.1526086,-0.9440542,0.0057,NA,NA,NA,NA,NA
2116,PYF2003,French Polynesia,PYF,East Asia & Pacific,High income,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.382,NA,14.12429379,56.242,65.7471419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2117,QAT2003,Qatar,QAT,Middle East & North Africa,High income,2003,1.220128298,1.285,-0.09,2.255,34.6675,0.1415,0.1415,NA,NA,70.91236495,0.001995421,NA,NA,77.919,NA,19.24233642,96.868,75.78367469,0.4490654,98.44426,61.69758239,28.46736631,90.1649487,12.414,0.541,0.5118,0.4490654,0.4910002,-0.4148805,0.7235699,1.387437,0.5024724,0.2069,0.970002902,NA,NA,NA,37.064
2118,ROU2003,Romania,ROU,Europe & Central Asia,Upper middle income,2003,1.014940023,0.872,0.049,5.4987,118.6046,15.0113,15.0113,56601.27426,43312.132,10730.00833,0.001399002,0.002738369,9.71E-05,71.3097561,1174,8.9,52.912,68.44644762,-0.2089897,81.97752,24.21273505,31.966792,56.17952705,6.312,0.1413,-0.2272,-0.2089897,-0.346819,0.415336,0.4427034,0.2232922,0.0658044,0.0114,0.978968849,0.923669778,0.99139716,0.964678595,139.1146
2119,RUS2003,Russian Federation,RUS,Europe & Central Asia,Upper middle income,2003,0.86772418,0.805,0.062,75.6278,1954.3367,233.4848,233.4848,537000,376000,51637.08165,0.00452165,0.005197082,0.000140708,65.04780488,34870,8.298860616,73.373,70.22842444,-0.9106629,91.50807,35.24998177,23.87828723,59.128269,22.118,0.3836,-0.9327,-0.9106629,0.3491774,1.300804,0.767812,0.5419755,-0.5605522,0.0472,0.932026184,0.855134782,0.98708506,0.924748675,2263.4493
2120,RWA2003,Rwanda,RWA,Sub-Saharan Africa,Low income,2003,0.790679097,0.801,-0.01,1.3775,0.0612,-7.1119,0,1372.513756,439.397315,1182.642699,0,0.000139282,0.001003633,52.178,NA,0.356918467,16.904,53.62366093,-0.8035703,13.96687,8.452597072,23.53896464,31.99156171,0.302,0.0715,-0.8767,-0.8035703,-0.5245195,-1.089105,-0.6232237,-0.8199338,-0.814772,0.00025,1,0.996117607,0.901756255,0.965957954,-5.6732
2121,SAU2003,Saudi Arabia,SAU,Middle East & North Africa,High income,2003,1.429204583,1.133,0.069,33.0886,290.867,5.8488,5.8488,122000,274000,11485.81088,0.00050922,0.001061159,0.000272307,73.051,543,8.001582891,80.53,61.49083953,0.1304767,NA,45.85416578,23.9770302,69.83119598,9.63,0.4508,0.238,0.1304767,-0.5610163,0.8716059,-0.0338226,0.4914492,-0.1910068,0.0072,0.992344912,0.970420896,0.974072127,0.978945978,329.8044
2122,SDN2003,Sudan,SDN,Sub-Saharan Africa,Lower middle income,2003,1.003692865,1.168,-0.013,1.8291,25.1665,120.1637,120.1637,14745.78891,12301.97042,14177.37342,0.008475738,0.002045729,0.000124042,59.67,17,0.538471703,32.654,53.2235464,-1.64054,35.87596,14.82786272,17.16976882,31.99763154,1.024,0.0812,-1.5763,-1.64054,-0.4996471,-1.320605,-0.6011558,-1.062196,-1.451418,2.00E-04,0.872584508,0.942976659,0.988733048,0.934764739,147.1593
2123,SEN2003,Senegal,SEN,Sub-Saharan Africa,Lower middle income,2003,1.08202219,1.049,0.033,3.1925,6.962,15.7069,15.7069,6507.513378,2655.786769,1630.272873,0.009634522,0.002621445,0.000490587,59.259,NA,2.10143643,40.898,52.65333563,-0.0605521,NA,26.62284815,38.73645728,65.35930543,0.658,0.1001,-0.0798,-0.0605521,-0.4246929,-1.137322,-1.133017,-0.8130029,-0.0031711,0.00025,0.855164547,0.926928957,0.952487897,0.911527134,25.8614
2124,SGP2003,Singapore,SGP,East Asia & Pacific,High income,2003,0.918561578,0.909,0.028,75.7169,45.4843,0.1265,0.1265,103000,36277.24245,79.43511742,0.001592495,0.001253797,0.000736152,79.03902439,7874,53.83794329,100,74.96675526,1.5733,NA,202.5862064,174.6323579,377.2185643,14.678,0.7381,1.6134,1.5733,3.041391,1.424141,2.090119,1.134292,1.587662,0.374,0.976060075,0.965051239,0.928205638,0.956438984,121.3277
2125,SLB2003,Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2003,NA,1,0,0.2276,7.00E-04,1.6678,1.6678,NA,NA,NA,NA,NA,NA,68.518,NA,0.555609882,17.001,55.46724174,-0.8802009,NA,26.40640641,31.67567568,58.08208209,2.848,0.0771,-1.3964,-0.8802009,-0.6081393,-1.015025,-0.5997671,-0.8387108,-1.106076,0.0026,NA,NA,NA,NA,1.8961
2126,SLE2003,Sierra Leone,SLE,Sub-Saharan Africa,Low income,2003,1.032964349,0.952,0.062,1.934,0.1101,7.3049,7.3049,687.9422727,172.8787677,851.8722051,0.008575113,0.000636862,0.002811282,42.419,NA,0.190173282,36.352,52.74835755,-1.123463,NA,13.9213495,31.98466659,45.90601609,0.694,0.0562,-1.2114,-1.123463,-0.5239657,-1.163266,-1.436606,-1.272703,-0.9202231,0.00015,0.871090607,0.982247894,0.723010096,0.858782866,9.349
2127,SLV2003,El Salvador,SLV,Latin America & Caribbean,Lower middle income,2003,NA,1.069122,-0.0160108,1.2257,7.889,4.1823,4.1823,9836.244241,4322.899831,1175.60103,0.003557584,0.001824932,0.000124611,69.68,NA,2.5,60.561,58.3877718,-0.4557933,65.6856,25.92342076,42.31356172,68.23698248,7.252,0.1963,-0.4983,-0.4557933,-0.6251237,-0.4057842,-0.2444967,-0.2919237,-0.1169359,0.0062,0.946518956,0.949131229,0.988676783,0.961442323,13.297
2128,SMR2003,San Marino,SMR,Europe & Central Asia,High income,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.00345304,93.975,NA,0.8622284,NA,NA,NA,NA,NA,NA,NA,0.8622284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2129,SOM2003,Somalia,SOM,Sub-Saharan Africa,Low income,2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.762,NA,0.376198003,34.756,49.51234854,-2.123502,NA,NA,NA,NA,NA,NA,NA,-2.123502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2130,SRB2003,Serbia,SRB,Europe & Central Asia,Upper middle income,2003,0.772462487,0.719,0.057,3.3477,54.0405,0,0,14938.54538,8004.960519,2929.252826,0,0.006750877,0.000224098,72.43658537,NA,NA,53.437,66.30966246,-0.8523601,88.29438,21.96246394,39.55059173,61.51305567,9.42,0.2083,-0.9401,-0.8523601,-0.130604,0.4795848,0.1649819,0.8355575,-0.4699166,0.0319,1,0.811823776,0.978839188,0.930220988,57.3882
2131,SSD2003,South Sudan,SSD,Sub-Saharan Africa,Low income,2003,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.55,NA,NA,16.891,52.22141288,NA,NA,NA,NA,NA,1.051,0,0,0,-0.5207915,-1.437306,-0.7222659,0,0.1216852,0.00025,NA,NA,NA,NA,NA
2132,STP2003,Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2003,NA,1,0,0.0105,5.00E-04,0.0121,0.0121,87.65985717,22.93378764,16.95654939,0.000713589,2.18E-05,0.000119781,63.359,NA,10.16184431,56.766,52.74872852,-0.3997545,35.75097,NA,NA,NA,1.051,0.0787,-0.5393,-0.3997545,-0.5069196,-1.074651,-0.6687028,-0.7100839,-0.218136,0.0017,0.98927264,0.999392339,0.989154389,0.992606456,0.0231
2133,SUR2003,Suriname,SUR,Latin America & Caribbean,Upper middle income,2003,NA,1,0,0.0792,0.0488,3.0631,3.0631,1429.292845,1086.569586,325.3324096,0.009415293,4.49E-05,5.54E-05,68.28,NA,4.719875395,66.664,62.33876157,-0.0330004,NA,NA,NA,NA,8.942,0.1309,-0.1795,-0.0330004,-0.5594596,0.1993217,-0.2002624,0.0965236,0.1115166,0.0064,0.858460209,0.998748442,0.99552059,0.950909747,3.1911
2134,SVK2003,Slovak Republic,SVK,Europe & Central Asia,High income,2003,0.845223129,0.85,0.048,2.161,43.1064,-6.5316,0,38503.94491,16810.72726,958.5021325,0,0.00256422,5.61E-05,73.60487805,1647,43.04,55.863,70.61094841,0.3624235,90.08665,62.33434889,62.81333009,125.147679,10.288,0.2949,0.3261,0.3624235,0.2136752,1.255364,0.7301071,0.9410694,0.8324255,0.0618,1,0.928524066,0.995451372,0.974658479,38.7358
2135,SVN2003,Slovenia,SVN,Europe & Central Asia,High income,2003,0.932175934,0.945,0.016,0.7784,16.8042,-12.0048,0,23115.37544,11204.3093,756.3684754,0,0.001499798,3.37E-05,76.85853659,370,31.85479301,51.082,70.46983141,0.9739602,109.05578,51.00359394,51.3210308,102.3246247,11.204,0.5077,0.9495,0.9739602,1.064467,1.721868,0.8291078,1.799899,1.162269,0.0384,1,0.958194124,0.997666356,0.985286827,5.5778
